prompt,completion
"What is Huma?","Huma is a new HR system that focuses on easy of use and makes it intuitive for companies to work smarter. With Huma you can: (1) Register and handle employee and organisation master data. (2) Share documents with individual employees or your entire company. (3) Publish internal news to secure important information reach your workforce and at the same time build culture. (4) Manage the key-qualifications within your company and make sure they are up to date, documented and act proactive regarding renewing qualifications. (5) Create tasks and get an overview of completed/uncompleted tasks. (6) Manage access so that the correct personell have access to the correct data. (7) Be sure your data are safe and according to GDPR"
"When was Huma started","Huma came together in 2019 and we are currently a team of dedicated employees who love a good challenge while having a great time. Our ambition is to become a leading B2B software within our industry and our mobile offering is at our strategic forefront."
"How to invite employees","This is how you invite your employees to Huma: When you have registered your employees in Huma (either one by one, with an import or via integration) you will see an option to invite them as users. You can also see a preview of the invitation that will be sent."
"How to add people to Huma","How to add a person: Add person, Go to People, Click Add person. Fill the details for that person and press continue. The person is created "
"We have many locations. How to work with Locations?","Locations are groupings of employees based on geographical colocation. This is how you add a new location, connect members and add grants for that location:"
"How to add info to your profile","This is how you add data to your profile. Huma will show you a profile completion bar. Important data fields are highlighted to make it easier for you as an employee to identify the most important data missing. Press edit to add data and remember to save when finished. Please note that all fields are not editable for the employee. Fields regarding employment will be added by a manager or an admin. As an admin or manager in Huma you will also see the possibility to send a reminder to the employee."
"How to register absence?","You need a System role with Full access to Absence to be able to manage absence types. In Huma there are 7 absence types: 1. Vacation 2. Self-certification 3. Sick leave 4. Paid time off 5. Unpaid time off 6. Sick child 7. Parental leave"
"Can Huma integrate with other IT systems?","Integrations is an important part of Huma. Send data between systems, seamlessly. Azure AD (Active Directory) integration .Crona lön integration (coming soon). Visma.net Payroll integration. Xledger integration. Teamtailor integration. Tripletex integration. PowerOffice Integration. Fortnox integration. Slack integration. Webhook"
"How to manage accress roles","In Huma we care about everyone's privacy and therefore we have a very flexible approach regarding permission and access roles. Everyone shouldn't see everything. To understand how access works in Huma you can think of it in two levels.  (1) Personal level: Control access to view and manage a user's personal information. - that's what we call User roles (2) System level: Control access to system wide functionality - like people, news and settings++. Thats what we call 'System roles'. User roles: Ensure everyone in the organisation have the correct access. We have default  user roles that define what everyone without extended access can do on their  own profile and on other profiles. Standard roles are roles everyone has. Use these to set the base access level for what everyone can see and do on their own and other people’s profiles. 'On their own profile' - What can everyone see and manage on their own profile, 'On other people's profiles...' - What can everyone see and manage on their colleagues’ profiles"
"How to give extended access over other people's profile","To give extended access over other people’s profile you can create or change a user role. We have added locked roles called 'Manager' and 'Payroll manager'. You can check locked permissions for these roles and use them or create a new user role with specific access. These roles can be granted to a person over members of teams, locations or over everyone in the organization. Then the granted person will have the defined permissions over the members in that team, location or everyone. Notice: user with multiple roles will have combined permissions from every role."
"How can I change name and Huma domain","You can change the name of the organisation and the Huma domain - the url to your organisation."
